STAP90 input data for Kirsh of Q4+CST 
2034   2    1    1
1 0 1 1 4 0 0
2 1 0 1 0 4 0
3 1 0 1 0 1 0
4 0 1 1 1 0 0
5 0 1 1 10 0 0
6 0 0 1 10 10 0
7 1 0 1 0 10 0
8 0 0 1 3.99323 0.232579 0
9 0 0 1 3.97295 0.464372 0
10 0 0 1 3.93923 0.694593 0
11 0 0 1 3.89218 0.922463 0
12 0 0 1 3.83196 1.14721 0
13 0 0 1 3.75877 1.36808 0
14 0 0 1 3.67286 1.58432 0
15 0 0 1 3.57453 1.7952 0
16 0 0 1 3.4641 2 0
17 0 0 1 3.34195 2.19804 0
18 0 0 1 3.20849 2.38863 0
19 0 0 1 3.06418 2.57115 0
20 0 0 1 2.90949 2.74497 0
21 0 0 1 2.74497 2.90949 0
22 0 0 1 2.57115 3.06418 0
23 0 0 1 2.38863 3.20849 0
24 0 0 1 2.19804 3.34195 0
25 0 0 1 2 3.4641 0
26 0 0 1 1.7952 3.57453 0
27 0 0 1 1.58432 3.67286 0
28 0 0 1 1.36808 3.75877 0
29 0 0 1 1.14721 3.83196 0
30 0 0 1 0.922463 3.89218 0
31 0 0 1 0.694593 3.93923 0
32 0 0 1 0.464372 3.97295 0
33 0 0 1 0.232579 3.99323 0
34 1 0 1 0 3.85 0
35 1 0 1 0 3.7 0
36 1 0 1 0 3.55 0
37 1 0 1 0 3.4 0
38 1 0 1 0 3.25 0
39 1 0 1 0 3.1 0
40 1 0 1 0 2.95 0
41 1 0 1 0 2.8 0
42 1 0 1 0 2.65 0
43 1 0 1 0 2.5 0
44 1 0 1 0 2.35 0
45 1 0 1 0 2.2 0
46 1 0 1 0 2.05 0
47 1 0 1 0 1.9 0
48 1 0 1 0 1.75 0
49 1 0 1 0 1.6 0
50 1 0 1 0 1.45 0
51 1 0 1 0 1.3 0
52 1 0 1 0 1.15 0
53 0 0 1 0.0581448 0.998308 0
54 0 0 1 0.116093 0.993238 0
55 0 0 1 0.173648 0.984808 0
56 0 0 1 0.230616 0.973045 0
57 0 0 1 0.286803 0.95799 0
58 0 0 1 0.34202 0.939693 0
59 0 0 1 0.39608 0.918216 0
60 0 0 1 0.448799 0.893633 0
61 0 0 1 0.5 0.866025 0
62 0 0 1 0.549509 0.835488 0
63 0 0 1 0.597159 0.802123 0
64 0 0 1 0.642788 0.766044 0
65 0 0 1 0.686242 0.727374 0
66 0 0 1 0.727374 0.686242 0
67 0 0 1 0.766044 0.642788 0
68 0 0 1 0.802123 0.597159 0
69 0 0 1 0.835488 0.549509 0
70 0 0 1 0.866025 0.5 0
71 0 0 1 0.893633 0.448799 0
72 0 0 1 0.918216 0.39608 0
73 0 0 1 0.939693 0.34202 0
74 0 0 1 0.95799 0.286803 0
75 0 0 1 0.973045 0.230616 0
76 0 0 1 0.984808 0.173648 0
77 0 0 1 0.993238 0.116093 0
78 0 0 1 0.998308 0.0581448 0
79 0 1 1 1.15 0 0
80 0 1 1 1.3 0 0
81 0 1 1 1.45 0 0
82 0 1 1 1.6 0 0
83 0 1 1 1.75 0 0
84 0 1 1 1.9 0 0
85 0 1 1 2.05 0 0
86 0 1 1 2.2 0 0
87 0 1 1 2.35 0 0
88 0 1 1 2.5 0 0
89 0 1 1 2.65 0 0
90 0 1 1 2.8 0 0
91 0 1 1 2.95 0 0
92 0 1 1 3.1 0 0
93 0 1 1 3.25 0 0
94 0 1 1 3.4 0 0
95 0 1 1 3.55 0 0
96 0 1 1 3.7 0 0
97 0 1 1 3.85 0 0
98 1 0 1 0 9.77778 0
99 1 0 1 0 9.55556 0
100 1 0 1 0 9.33333 0
101 1 0 1 0 9.11111 0
102 1 0 1 0 8.88889 0
103 1 0 1 0 8.66667 0
104 1 0 1 0 8.44444 0
105 1 0 1 0 8.22222 0
106 1 0 1 0 8 0
107 1 0 1 0 7.77778 0
108 1 0 1 0 7.55556 0
109 1 0 1 0 7.33333 0
110 1 0 1 0 7.11111 0
111 1 0 1 0 6.88889 0
112 1 0 1 0 6.66667 0
113 1 0 1 0 6.44444 0
114 1 0 1 0 6.22222 0
115 1 0 1 0 6 0
116 1 0 1 0 5.77778 0
117 1 0 1 0 5.55556 0
118 1 0 1 0 5.33333 0
119 1 0 1 0 5.11111 0
120 1 0 1 0 4.88889 0
121 1 0 1 0 4.66667 0
122 1 0 1 0 4.44444 0
123 1 0 1 0 4.22222 0
124 0 1 1 4.21429 0 0
125 0 1 1 4.42857 0 0
126 0 1 1 4.64286 0 0
127 0 1 1 4.85714 0 0
128 0 1 1 5.07143 0 0
129 0 1 1 5.28571 0 0
130 0 1 1 5.5 0 0
131 0 1 1 5.71429 0 0
132 0 1 1 5.92857 0 0
133 0 1 1 6.14286 0 0
134 0 1 1 6.35714 0 0
135 0 1 1 6.57143 0 0
136 0 1 1 6.78571 0 0
137 0 1 1 7 0 0
138 0 1 1 7.21429 0 0
139 0 1 1 7.42857 0 0
140 0 1 1 7.64286 0 0
141 0 1 1 7.85714 0 0
142 0 1 1 8.07143 0 0
143 0 1 1 8.28571 0 0
144 0 1 1 8.5 0 0
145 0 1 1 8.71429 0 0
146 0 1 1 8.92857 0 0
147 0 1 1 9.14286 0 0
148 0 1 1 9.35714 0 0
149 0 1 1 9.57143 0 0
150 0 1 1 9.78571 0 0
151 0 0 1 10 0.25641 0
152 0 0 1 10 0.512821 0
153 0 0 1 10 0.769231 0
154 0 0 1 10 1.02564 0
155 0 0 1 10 1.28205 0
156 0 0 1 10 1.53846 0
157 0 0 1 10 1.79487 0
158 0 0 1 10 2.05128 0
159 0 0 1 10 2.30769 0
160 0 0 1 10 2.5641 0
161 0 0 1 10 2.82051 0
162 0 0 1 10 3.07692 0
163 0 0 1 10 3.33333 0
164 0 0 1 10 3.58974 0
165 0 0 1 10 3.84615 0
166 0 0 1 10 4.10256 0
167 0 0 1 10 4.35897 0
168 0 0 1 10 4.61538 0
169 0 0 1 10 4.87179 0
170 0 0 1 10 5.12821 0
171 0 0 1 10 5.38462 0
172 0 0 1 10 5.64103 0
173 0 0 1 10 5.89744 0
174 0 0 1 10 6.15385 0
175 0 0 1 10 6.41026 0
176 0 0 1 10 6.66667 0
177 0 0 1 10 6.92308 0
178 0 0 1 10 7.17949 0
179 0 0 1 10 7.4359 0
180 0 0 1 10 7.69231 0
181 0 0 1 10 7.94872 0
182 0 0 1 10 8.20513 0
183 0 0 1 10 8.46154 0
184 0 0 1 10 8.71795 0
185 0 0 1 10 8.97436 0
186 0 0 1 10 9.23077 0
187 0 0 1 10 9.48718 0
188 0 0 1 10 9.74359 0
189 0 0 1 9.74359 10 0
190 0 0 1 9.48718 10 0
191 0 0 1 9.23077 10 0
192 0 0 1 8.97436 10 0
193 0 0 1 8.71795 10 0
194 0 0 1 8.46154 10 0
195 0 0 1 8.20513 10 0
196 0 0 1 7.94872 10 0
197 0 0 1 7.69231 10 0
198 0 0 1 7.4359 10 0
199 0 0 1 7.17949 10 0
200 0 0 1 6.92308 10 0
201 0 0 1 6.66667 10 0
202 0 0 1 6.41026 10 0
203 0 0 1 6.15385 10 0
204 0 0 1 5.89744 10 0
205 0 0 1 5.64103 10 0
206 0 0 1 5.38462 10 0
207 0 0 1 5.12821 10 0
208 0 0 1 4.87179 10 0
209 0 0 1 4.61538 10 0
210 0 0 1 4.35897 10 0
211 0 0 1 4.10256 10 0
212 0 0 1 3.84615 10 0
213 0 0 1 3.58974 10 0
214 0 0 1 3.33333 10 0
215 0 0 1 3.07692 10 0
216 0 0 1 2.82051 10 0
217 0 0 1 2.5641 10 0
218 0 0 1 2.30769 10 0
219 0 0 1 2.05128 10 0
220 0 0 1 1.79487 10 0
221 0 0 1 1.53846 10 0
222 0 0 1 1.28205 10 0
223 0 0 1 1.02564 10 0
224 0 0 1 0.769231 10 0
225 0 0 1 0.512821 10 0
226 0 0 1 0.25641 10 0
227 0 0 1 3.84349 0.223858 0
228 0 0 1 3.82397 0.446958 0
229 0 0 1 3.79151 0.668545 0
230 0 0 1 3.74622 0.887871 0
231 0 0 1 3.68826 1.10419 0
232 0 0 1 3.61782 1.31678 0
233 0 0 1 3.53513 1.52491 0
234 0 0 1 3.44049 1.72788 0
235 0 0 1 3.3342 1.925 0
236 0 0 1 3.21663 2.11561 0
237 0 0 1 3.08817 2.29906 0
238 0 0 1 2.94927 2.47473 0
239 0 0 1 2.80039 2.64203 0
240 0 0 1 2.64203 2.80039 0
241 0 0 1 2.47473 2.94927 0
242 0 0 1 2.29906 3.08817 0
243 0 0 1 2.11561 3.21663 0
244 0 0 1 1.925 3.3342 0
245 0 0 1 1.72788 3.44049 0
246 0 0 1 1.52491 3.53513 0
247 0 0 1 1.31678 3.61782 0
248 0 0 1 1.10419 3.68826 0
249 0 0 1 0.887871 3.74622 0
250 0 0 1 0.668545 3.79151 0
251 0 0 1 0.446958 3.82397 0
252 0 0 1 0.223858 3.84349 0
253 0 0 1 3.69374 0.215136 0
254 0 0 1 3.67498 0.429544 0
255 0 0 1 3.64379 0.642498 0
256 0 0 1 3.60027 0.853279 0
257 0 0 1 3.54456 1.06117 0
258 0 0 1 3.47686 1.26547 0
259 0 0 1 3.3974 1.4655 0
260 0 0 1 3.30644 1.66056 0
261 0 0 1 3.20429 1.85 0
262 0 0 1 3.09131 2.03318 0
263 0 0 1 2.96786 2.20949 0
264 0 0 1 2.83436 2.37831 0
265 0 0 1 2.69128 2.53909 0
266 0 0 1 2.53909 2.69128 0
267 0 0 1 2.37831 2.83436 0
268 0 0 1 2.20949 2.96786 0
269 0 0 1 2.03318 3.09131 0
270 0 0 1 1.85 3.20429 0
271 0 0 1 1.66056 3.30644 0
272 0 0 1 1.4655 3.3974 0
273 0 0 1 1.26547 3.47686 0
274 0 0 1 1.06117 3.54456 0
275 0 0 1 0.853279 3.60027 0
276 0 0 1 0.642498 3.64379 0
277 0 0 1 0.429544 3.67498 0
278 0 0 1 0.215136 3.69374 0
279 0 0 1 3.54399 0.206414 0
280 0 0 1 3.526 0.41213 0
281 0 0 1 3.49607 0.616451 0
282 0 0 1 3.45431 0.818686 0
283 0 0 1 3.40086 1.01815 0
284 0 0 1 3.33591 1.21417 0
285 0 0 1 3.25967 1.40608 0
286 0 0 1 3.1724 1.59324 0
287 0 0 1 3.07439 1.775 0
288 0 0 1 2.96598 1.95076 0
289 0 0 1 2.84754 2.11991 0
290 0 0 1 2.71946 2.2819 0
291 0 0 1 2.58218 2.43616 0
292 0 0 1 2.43616 2.58218 0
293 0 0 1 2.2819 2.71946 0
294 0 0 1 2.11991 2.84754 0
295 0 0 1 1.95076 2.96598 0
296 0 0 1 1.775 3.07439 0
297 0 0 1 1.59324 3.1724 0
298 0 0 1 1.40608 3.25967 0
299 0 0 1 1.21417 3.33591 0
300 0 0 1 1.01815 3.40086 0
301 0 0 1 0.818686 3.45431 0
302 0 0 1 0.616451 3.49607 0
303 0 0 1 0.41213 3.526 0
304 0 0 1 0.206414 3.54399 0
305 0 0 1 3.39425 0.197692 0
306 0 0 1 3.37701 0.394716 0
307 0 0 1 3.34835 0.590404 0
308 0 0 1 3.30835 0.784094 0
309 0 0 1 3.25716 0.975131 0
310 0 0 1 3.19495 1.16287 0
311 0 0 1 3.12193 1.34667 0
312 0 0 1 3.03835 1.52592 0
313 0 0 1 2.94449 1.7 0
314 0 0 1 2.84066 1.86833 0
315 0 0 1 2.72722 2.03034 0
316 0 0 1 2.60455 2.18548 0
317 0 0 1 2.47307 2.33322 0
318 0 0 1 2.33322 2.47307 0
319 0 0 1 2.18548 2.60455 0
320 0 0 1 2.03034 2.72722 0
321 0 0 1 1.86833 2.84066 0
322 0 0 1 1.7 2.94449 0
323 0 0 1 1.52592 3.03835 0
324 0 0 1 1.34667 3.12193 0
325 0 0 1 1.16287 3.19495 0
326 0 0 1 0.975131 3.25716 0
327 0 0 1 0.784094 3.30835 0
